row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,sat_min,sat_max,tuition_fees
10,747f993d-c889-4d85-a7a2-b4e40217469e,Alaska Pacific University,907-561-1266,4101 University Dr,Anchorage,AK,99508-4672,http://www.alaskapacific.edu/,801.1511,N/A,N/A,N/A,N/A,3.22,0.55,294,253,Far West,N/A,0.65,7:1,private,city,N/A,170 acres,N/A,"International Association of Methodist...d Schools, Colleges, and Universities:Eco League",N/A,N/A,N/A,N/A,722,N/A,N/A,N/A,"Liberal Arts and Humanities:Business:Parks, Recreation and Leisure Studies:Marine Biology and Oceanography:Counseling Psychology:Sustainability Studies:Environmental Science:Accounting:Creative Writing:Education","40,200",0.53,0.91,"14,345",25,N/A,N/A,applicant.alaskapacific.edu/undergraduate/login.asp,830,1115,17866
11,8c496b61-9f5e-4fa4-8237-294310b6d854,Albany College of Pharmacy and Health Sciences,518-445-7200,106 New Scotland Avenue,Albany,NY,12208,http://www.acphs.edu/,767.8187,25,600,560,560,3.6,0.67,1078,481,Mid East,Biological and Biomedical Sciences:Health Professions and Related Programs,N/A,8:1,private,city,N/A,35 acres,N/A,N/A,N/A,N/A,Panther,N/A,1392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,6f2bdd17-1c0b-4659-b0d1-418bf958222b,Albany State University,229-430-4600,504 College Drive,Albany,GA,31705-2717,http://www.asurams.edu/,991.07916,17,400,420,N/A,2.77,0.97,6262,353,Southeast,N/A,0.62,N/A,public,campus,N/A,231 acres,"A Past To Cherish, A Future To Fulfill",University System of Georgia:Southern Intercollegiate Athletic Conference,NCAA Division II,N/A,N/A,Royal blue and Old gold,3316,N/A,N/A,N/A,Liberal Arts and Humanities:Nursing:Business:Criminal Justice and Safety Studies:Early Childhood Education:Education:Biology:Psychology:Medical Laboratory Technician:Social Work and Youth Services,"32,200",0.22,0.92,"6,110",25,0.06,July 1,gafutures.xap.com/applications/usg/usg_common_app_short/introduction.asp?application_id=2871,840,976,10809
13,5d5377c2-2b19-4807-92d5-0505d0d9c2f8,Albertus Magnus College,203-773-8550,700 Prospect St,New Haven,CT,06511-1189,http://www.albertus.edu/,917.69794,24,455,475,448,3.01,0.75,1116,303,New England,"Business, Management, Marketing, and Related Support Services:Homeland Security, Law Enforcement, Firefighting and Related Protective Services:Psychology:Public Administration and Social Service Professions:Health Professions and Related Programs",0.69,14:1,private,campus,N/A,55 acres,N/A,Roman Catholic:Association of Catholic Colleges and Universities:National Association of Independent Colleges and Universities:Dominican Sisters of Peace:Council of Independent Colleges,National Collegiate Athletic Association:Eastern College Athletic Conference,N/A,N/A,BlueandWhite,N/A,N/A,N/A,N/A,Business:Psychology:Liberal Arts and Humanities:Accounting:Criminal Justice and Safety Studies:Managerial Economics:Communications:Community Organization and Advocacy:Sociology:English,"51,200",0.61,0.93,"21,245",35,0.17,Rolling Admissions,albertus.edu/undergraduate-degrees/apply-for-admission/index.php,810,1050,24177
14,bc108892-b43e-4ed8-aff4-9256d7406980,Albion College,517-629-1000,611 E Porter St,Albion,MI,49224-1831,http://www.albion.edu/,1051.5109,24,541,549,523,3.47,0.69,1475,0,Great Lakes,"Social Sciences:Biological and Biomedical Sciences:Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Psychology",0.79,11:1,private,campus,N/A,574 acres,Let there be Light:Lux Fiat,N/A,N/A,N/A,Brit the Briton,Purple and Gold,1350,N/A,N/A,N/A,Economics:Biology:Psychology:Communications:Business:Kinesiology and Exercise Science:Finance:Political Science and Government:Physics:Spanish Language and Literature,"47,400",0.57,0.94,"34,181",0,0.43,Rolling Admissions,albion.edu/admission/apply,1010,1200,19913
15,459743e2-c4fb-44e6-aa61-851fe9eb9b6e,Albright College,610-921-2381,1621 N. 13th St.,Reading,PA,19612-5234,http://www.albright.edu/,986.76263,23,527,535,N/A,3.05,0.62,1912,22,Mid East,N/A,0.69,N/A,private,campus,N/A,118 acres,Truth and Justice:Veritas et Justitia,United Methodist Church,Middle Atlantic Conferences,N/A,Lion,Red and White,2335,N/A,N/A,N/A,Business:Industrial and Organizational Psychology:Accounting:Psychology:Sociology:Biology:Information Science:Arts:Fashion and Apparel Design:English,"46,700",0.53,0.94,"30,580",25,0.2,N/A,albright.edu/admission-aid/first-year-students,930,1130,24673
16,4cd00481-73d6-49d3-9520-43202aac223f,Alcorn State University,601-877-6100,1000 ASU Dr Ste 359,Lorman,MS,39096-7500,http://www.alcorn.edu/,865.89935,19,469,466,N/A,3.2,0.79,3068,455,Southeast,"Biological and Biomedical Sciences:Liberal Arts and Sciences, General Studies and Humanities:Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Public Administration and Social Service Professions",0.75,17:1,public,campus,N/A,N/A,Where Knowledge and Character Matter,Association of Public and Land-grant Universities:Thurgood Marshall College Fund,NCAA Division I,N/A,N/A,Purple and Gold,3730,N/A,N/A,N/A,Liberal Arts and Humanities:Biology:Nursing:Criminal Justice and Safety Studies:Psychology:Business:Social Work and Youth Services:Child Development:Communications:Accounting,"31,100",0.33,0.9,"10,327",0,0.09,N/A,alcorn.edu/admissions,820,1140,13665
17,64048e61-0592-46e1-a9a5-4114f7766a2d,Alderson Broaddus University,304-457-1700,101 College Hill Drive,Philippi,WV,26416,http://www.ab.edu/,922.01447,21,486,475,442,3.2,0.41,981,71,Southeast,"Business Administration and Management, General:Physician Assistant:Registered Nursing/Registered Nurse:English Language and Literature/Letters:Biology/Biological Sciences, General",0.53,15:1,private,campus,N/A,170 acres,"""Out of hiding, into the light""",N/A,N/A,N/A,Skirmish,Navy and Gold,1100,N/A,N/A,N/A,Nursing:Business:Biology:Criminology:Sport and Fitness Management:Chemistry:Marketing:Psychology:Athletic Training:Elementary Education,"40,400",0.47,0.92,"19,368",0,0.61,Rolling Admissions,ab.edu/future-students/online-application-domestic,930,1080,17794
18,cd708ed5-f088-49ce-adff-4eb0254df1eb,Alfred University,607-871-2111,One Saxon Drive,Alfred,NY,14802-1205,http://www.alfred.edu/,965.1799,24,540,530,475,3.1,0.42,1715,667,Mid East,"Fine/Studio Arts, General:Mechanical Engineering:Psychology, General:Business Administration and Management, General:Biology/Biological Sciences, General",0.73,12:1,private,campus,N/A,600 acres,"Fiat Lux (Latin):""Let there be Light""",N/A,N/A,N/A,Saxon,Purple and Gold,2300,N/A,N/A,N/A,Studio Arts:Mechanical Engineering:Psychology:Materials Engineering:Accounting:Athletic Training:Biology:Marketing:Engineering:Liberal Arts and Humanities,"41,400",0.53,0.93,"20,676",0,0.22,Rolling Admissions,alfred.edu/admissions/apply.cfm,990,1210,21566
19,d631a89a-d9b0-45b3-a303-85910ba8a0ac,Avila University,816-942-8400,11901 Wornall Rd,Kansas City,MO,64145-1698,http://www.avila.edu/,1008.3454,22,484,462,N/A,3.24,0.41,1154,375,Plains,N/A,0.67,N/A,private,N/A,N/A,N/A,Deo adjuvante non timendum:With the help of God there is nothing to fear.,N/A,National Association of Intercollegiate Athletics,N/A,Dominic the Eagle,Purple & Gold,1971,N/A,N/A,N/A,Nursing:Psychology:Kinesiology and Exercise Science:Radiation Therapy:Communications:Hospital Management:Business:Finance:Biology:Information Science,"44,100",0.42,0.93,"17,141",0,0.32,N/A,avila.edu/apply-now,940,1040,20092
20,b0cff00a-9f75-4790-bb6b-a24f285cbca5,Azusa Pacific University,626-969-3434,901 E Alosta,Azusa,CA,91702-7000,http://www.apu.edu/,943.59717,N/A,N/A,N/A,N/A,3.67,0.69,5657,4438,Far West,N/A,0.84,N/A,private,campus,N/A,103 acres,"""God First""",Interdenominationalism:Christian:Council for Christian Colleges and Universities:National Association of Independent Colleges and Universities:Council of Independent Colleges,Golden Coast Conference:Great Northwest Athletic Conference:National Collegiate Athletic Association,N/A,Coug the Cougar,"Brick, White, and Black",10755,N/A,N/A,N/A,Nursing:Psychology:Business:Physical Education Teaching and Coaching:Communications:Liberal Arts and Humanities:Health Professions:Visual and Performing Arts:Accounting:English,"51,100",0.67,0.93,"21,186",45,0.09,June 1,apu.edu/apply,990,1220,28784
21,18842ce3-b65b-44e8-aff4-12becee504ca,Babson College,781-235-1200,231 Forest Street,Babson Park,MA,02457-0310,http://www.babson.edu/,783.88495,30,670,630,640,N/A,0.26,2374,899,New England,"Economics, General:Entrepreneurship/Entrepreneurial Studies:Finance, General:Management Sciences and Quantitative Methods:Marketing/Marketing Management, General",N/A,14:1,private,campus,N/A,370 acres,N/A,N/A,National Collegiate Athletic Association,Kerry Healey,Biz E. Beaver,GreenandWhite,2840,N/A,N/A,N/A,Business,"96,100",0.92,0.91,"36,717",75,0.17,N/A,babson.edu/admission/undergraduate-school/request-information,1230,1410,29847
22,eabdef54-953f-4c60-8d97-237d07f404a2,Bacone College,918-683-4581,2299 Old Bacone Rd,Muskogee,OK,74403-1597,http://www.bacone.edu/,684.6044,N/A,N/A,N/A,N/A,N/A,N/A,884,0,Southwest,N/A,0.31,N/A,private,N/A,N/A,160 acres,A Place of Value & Opportunity,N/A,National Association of Intercollegiate Athletics,N/A,N/A,Red and White,900,N/A,N/A,N/A,"Police and Criminal Science:Business:Kinesiology and Exercise Science:Sport and Fitness Management:Liberal Arts and Humanities:Radiation Therapy:Sonographer and Ultrasound Technician:Education:Divinity, Ministry, and Pre-Theology:Elementary Education","34,500",0.14,0.9,"12,768",0,0.41,N/A,camsportal.bacone.edu/application/login.asp,800,980,22432
23,a5f2ef2b-7b29-48f4-bf49-9a626523f8fb,Baker College,810-766-4000,1050 West Bristol Road,Flint,MI,48507,http://www.baker.edu/,1098.9928,N/A,N/A,N/A,N/A,N/A,1,24099,578,Great Lakes,N/A,0.49,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BurgundyandGray,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,07a231a8-a970-4dce-869c-ed9eb19c2ff3,Bakersfield College,661-395-4011,1801 Panorama Dr,Bakersfield,CA,93305-1299,http://www.bakersfieldcollege.edu/,922.01447,N/A,N/A,N/A,N/A,N/A,N/A,15001,0,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Child Care Provider:Emergency Medical Technician (EMT Paramedic):Communications:Liberal Arts and Humanities:Business:Nursing Assistant:Nursing:Psychology:Welding:Police and Criminal Science,"29,800",0.23,0.82,"5,313",0,0.06,N/A,bakersfieldcollege.edu/apply,0,0,6645
25,c7ff3993-99ab-48f5-9073-20b66c203dd5,Baker University,785-594-6451,618 Eighth Street,Baldwin City,KS,66006-0065,http://www.bakeru.edu/,956.5468,23,N/A,N/A,N/A,3.47,0.88,1214,0,Plains,"Business Administration and Management, General:Elementary Education and Teaching:Biology/Biological Sciences, General:Kinesiology and Exercise Science:Psychology, General",0.76,11:1,private,campus,N/A,26 acres,N/A,United Methodist Church:Heart of America Athletic Conference,N/A,N/A,N/A,Orange & Navy blue,3076,N/A,N/A,N/A,Business:Nursing:Kinesiology and Exercise Science:Sport and Fitness Management:Sociology:Communications:Accounting:Biology:Elementary Education:Psychology,"51,300",0.57,0.94,"20,262",0,0.39,N/A,bakeru.edu/apply,950,1110,22393
26,a3f9a830-de1b-4171-8b5b-74b048165b29,Baldwin Wallace University,440-826-2900,275 Eastland Rd,Berea,OH,44017-2088,http://www.bw.edu/,1137.8418,24,567,579,513,3.58,0.73,2964,540,Great Lakes,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Visual and Performing Arts:Biological and Biomedical Sciences:Psychology",0.8,11:1,private,campus,N/A,100 acres,"""Creating contributing, compassionate citizens of an increasingly global society.""","United Methodist Church:International Association of Methodist...d Schools, Colleges, and Universities:Council of Independent Colleges",National Collegiate Athletic Association,Robert C. Helmer,Stinger,Brown and Gold,N/A,N/A,N/A,N/A,Business:Psychology:Biology:Accounting:Exercise Physiology:Finance:Marketing:Nursing:Early Childhood Education:Chemistry,"44,400",0.67,0.95,"19,781",25,0.2,Rolling Admissions,bw.edu/undergraduate-admission/first-year/apply,950,1200,23990
27,1c3a722f-84d3-4d04-ad08-6b37151344bf,Ball State University,765-289-1241,2000 University Ave,Muncie,IN,47306,http://www.bsu.edu/,1608.3453,22,570,580,527,3.48,0.77,16702,5808,Great Lakes,N/A,0.79,N/A,public,campus,N/A,N/A,N/A,N/A,Midwestern Intercollegiate Volleyball Association:Mid-American Conference:NCAA Division I,N/A,Charlie Cardinal,Cardinal and White,21053,https://www.topuniversities.com/sites/default/files/ball-state-university_592560cf2aeae70239af517c_small.jpg,N/A,201-250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,f6c3ee92-792f-45e9-bc83-8f374316fbd9,Baptist Bible College,417-268-6000,628 E Kearney,Springfield,MO,65803-3498,http://www.gobbc.edu/,658.705,N/A,N/A,N/A,N/A,N/A,0.76,544,92,Plains,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Missionary Studies:Pastoral Counseling and Specialized Ministries:Religious Vocations:Business:Early Childhood Education:Data Processing:Elementary Education:Music Teacher Education,"29,000",0.3,0.86,"7,352",40,0.07,N/A,gobbc.edu,0,0,14256
29,6108a3b4-9a4f-4ed3-ab82-564ea8567356,American University of Puerto Rico - Bayamon,787-620-2040,"Carr. #2, Km.14.4, Bo. Hato Tejas",Bayamon,PR,00960-2037,http://www.aupr.edu/,685.8043,N/A,N/A,N/A,N/A,N/A,0.83,2324,144,Outlying areas,N/A,0.67,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,f0333bed-f83d-4392-ae2e-30ff87615780,American University of Puerto Rico - Manati,787-621-2835,Carretera Estatal #2 Km.48.1,Manati,PR,00674-1082,http://www.aupr.edu/,621.05615,N/A,N/A,N/A,N/A,N/A,N/A,884,47,Outlying areas,N/A,0.74,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,c48715d3-0bee-4b48-8b79-fa234209a1ac,Amherst College,413-542-2000,Boltwood Avenue,Amherst,MA,01002-5000,http://www.amherst.edu/,913.3813,33,750,727,721,N/A,0.11,1839,0,New England,"Mathematics, General:Econometrics and Quantitative Economics:Research and Experimental Psychology, Other:Computer Science:English Language and Literature, General",0.96,7:1,private,campus,N/A,N/A,Let them enlighten the lands:Terras Irradient (Latin),N/A,NCAA Division III,Carolyn Martin,N/A,Purple and white,N/A,N/A,N/A,N/A,Economics:Research and Experimental Psychology:Mathematics:English:Political Science and Government:Biology:Computer Science:History:Environmental Science:Sociology,"65,000",0.95,0.9,"49,467",60,0.32,January 1,amherst.edu/admission/apply/firstyear,1400,1560,19519
32,3f83856c-3140-46f0-86e1-6dfcf5ecd104,Anderson University ,765-649-9071,1100 E 5th St,Anderson,IN,46012,http://www.anderson.edu/,1103.3093,22,509,501,N/A,3.4,0.65,1311,256,Great Lakes,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Education:Visual and Performing Arts:Psychology",0.71,11:1,private,campus,N/A,163 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,cf9d714f-3862-4d4d-ad41-c426218ee5ff,Anderson University,864-231-2000,316 Boulevard,Anderson,SC,29621,http://www.andersonuniversity.edu/,1098.9928,23,481,581,510,3.56,0.79,2983,514,Southeast,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Education:Visual and Performing Arts:Homeland Security, Law Enforcement, Firefighting and Related Protective Services",0.78,15:1,private,city,N/A,272 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,a2f4170d-18ae-4df7-9e80-b5fc8e66ce28,Andrew College,229-732-2171,501College St,Cuthbert,GA,39840,http://www.andrewcollege.edu/,727.7698,17,455,475,N/A,2.6,0.43,293,0,Southeast,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Business:Athletic Training:Education:Pre-Medicine Studies:Liberal Arts and Humanities:Criminal Justice and Law Enforcement Administration:Social Science Research Methods:Visual and Performing Arts:Biology:Drama and Theatre Production,"29,000",0.17,0.86,"4,183",20,0.61,N/A,andrewcollege.edu/apply-now,820,1000,29092
35,86d385b3-e425-4641-a523-89ddf62d547c,Andrews University,269-471-7771,"4150 Administration Drive, Room 136",Berrien Springs,MI,49104,http://www.andrews.edu/,1224.1727,25,596,613,538,3.63,0.67,1708,1704,Great Lakes,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Psychology:Visual and Performing Arts",0.86,11:1,private,campus,N/A,300 acres,"Body, Mind, Spirit:Corpus, Mens, Spiritus",Seventh-day Adventist Church:Council of Independent Colleges,United States Collegiate Athletic Association,N/A,Cardinal,Gold and Blue,3366,https://www.topuniversities.com/sites/default/files/andrews-university_592560cf2aeae70239af517a_small.jpg,48.6,94,Speech Language Pathology:Business:Biology:Liberal Arts and Humanities:Psychology:Architecture:Social Work and Youth Services:Medical Laboratory Technician:Physical Therapy:Spanish Language and Literature,"45,200",0.55,0.87,"16,809",30,0.05,N/A,andrews.edu/apply,1040,1320,21566
36,a0f9ea51-836f-49b5-86f5-828f71f13462,Angelo State University,325-942-2555,2601 W. Avenue N,San Angelo,TX,76909,http://www.angelo.edu/,995.3957,21,519,532,N/A,N/A,0.77,9046,1522,Southwest,"Business, Management, Marketing, and Related Support Services:Multi/Interdisciplinary Studies:Parks, Recreation, Leisure, and Fitness Studies:Health Professions and Related Programs:Psychology",0.68,20:1,public,city,N/A,268 acres,Let there be light:Fiat Lux,American Association of State Colleges and Universities:Texas Tech University System,National Collegiate Athletic Association,N/A,Dominic the Ram,Blue and Gold,9570,N/A,N/A,N/A,Liberal Arts and Humanities:Nursing:Kinesiology and Exercise Science:Psychology:Business:Criminal Justice and Safety Studies:Animal Sciences and Husbandry:Information Science:Marketing:Biology,"40,200",0.37,0.92,"6,792",40,0.07,Rolling Admissions,applytexas.org,900,1090,11742
